"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_names"
"55",9.84877567558146e-24,1.81413811517676,1,1,1.96975513511629e-20,"NMF_2","23213","SULF1"
"56",5.03570513822047e-18,1.54032454051194,1,1,1.00714102764409e-14,"NMF_2","1490","CCN2"
"57",1.30636061528667e-15,1.91996486859052,1,1,2.61272123057334e-12,"NMF_2","7052","TGM2"
"58",2.48215440042276e-11,1.95238003078322,1,1,4.96430880084552e-08,"NMF_2","3493","IGHA1"
"59",1.56408896255375e-10,1.75991288347557,1,1,3.12817792510751e-07,"NMF_2","3514","IGKC"
"60",5.49204378248867e-10,1.59968473841868,1,1,1.09840875649773e-06,"NMF_2","3500","IGHG1"
"61",8.31198883859595e-22,1.04442689327556,1,1,1.66239776771919e-18,"NMF_3","790","CAD"
"62",1.87374242042127e-20,0.995288896493976,1,1,3.74748484084255e-17,"NMF_3","23020","SNRNP200"
"63",2.89490512430445e-20,1.04153896234003,1,1,5.7898102486089e-17,"NMF_3","5326","PLAGL2"
"64",1.11288349952053e-18,1.05562292025516,1,1,2.22576699904106e-15,"NMF_3","473","RERE"
"65",3.52656801087119e-18,1.02925907980222,1,1,7.05313602174237e-15,"NMF_3","10523","CHERP"
"66",9.315787373499e-18,1.00507106645638,1,1,1.8631574746998e-14,"NMF_3","9918","NCAPD2"
"67",4.61812083924731e-16,1.5926839360642,1,1,9.23624167849462e-13,"NMF_3","547","KIF1A"
"68",2.4952653762519e-14,1.27821882029305,1,1,4.99053075250381e-11,"NMF_3","79971","WLS"
"69",2.54687314245628e-14,0.973526260101783,1,1,5.09374628491255e-11,"NMF_3","5318","PKP2"
"70",5.08440761909114e-13,1.19728292525707,1,1,1.01688152381823e-09,"NMF_3","92312","MEX3A"
"71",7.31941769666997e-13,1.08084518850672,1,1,1.46388353933399e-09,"NMF_3","1001","CDH3"
"72",3.71521248202699e-12,1.145692700429,1,1,7.43042496405399e-09,"NMF_3","4232","MEST"
"73",7.42169902523617e-12,1.00562688609846,1,1,1.48433980504723e-08,"NMF_3","7153","TOP2A"
"74",7.64438994183799e-12,1.0843211559134,1,1,1.5288779883676e-08,"NMF_3","53834","FGFRL1"
"75",1.02625208657594e-11,1.07412966060338,1,1,2.05250417315187e-08,"NMF_3","2260","FGFR1"
"76",1.28786074537853e-11,1.1840201819958,1,1,2.57572149075707e-08,"NMF_3","116113","FOXP4"
"77",1.7743345934187e-11,1.27680523411598,1,1,3.5486691868374e-08,"NMF_3","64857","PLEKHG2"
"78",3.76609030001035e-11,0.994952023987635,1,1,7.5321806000207e-08,"NMF_3","3480","IGF1R"
"79",3.8396850777447e-10,1.11943336962335,1,1,7.6793701554894e-07,"NMF_3","4854","NOTCH3"
"80",5.56553451198685e-10,1.28701701966495,1,1,1.11310690239737e-06,"NMF_3","1000","CDH2"
"81",5.41734848342976e-09,0.971027028110759,1,1,1.08346969668595e-05,"NMF_3","10644","IGF2BP2"
"82",6.01385125380905e-09,1.3805509945865,1,1,1.20277025076181e-05,"NMF_3","8425","LTBP4"
"83",1.00306827994551e-08,1.25360221831588,1,1,2.00613655989101e-05,"NMF_3","2064","ERBB2"
"84",1.12896692224234e-08,1.05078366350564,1,1,2.25793384448469e-05,"NMF_3","249","ALPL"
"85",2.22122053548348e-08,1.0731307536399,1,1,4.44244107096696e-05,"NMF_3","23089","PEG10"
"86",2.97199606161381e-08,1.03794570581809,1,1,5.94399212322761e-05,"NMF_3","5709","PSMD3"
"87",6.84983681833343e-08,1.07306030793043,1,1,0.000136996736366669,"NMF_3","80139","ZNF703"
"88",1.95352973731694e-07,1.11450996461772,1,1,0.000390705947463389,"NMF_3","56265","CPXM1"
"89",2.54908607096868e-06,0.990524339709493,1,1,0.00509817214193735,"NMF_3","7345","UCHL1"
"90",0.00515936316672255,1.54942580215469,1,1,1,"NMF_3","586","BCAT1"
"91",1.71829707429381e-31,1.25465702154677,1,1,3.43659414858763e-28,"NMF_4","6161","RPL32"
"92",5.65215159482066e-31,1.31904664369704,1,1,1.13043031896413e-27,"NMF_4","6227","RPS21"
"93",2.06528378734764e-29,1.27496195038071,1,1,4.13056757469528e-26,"NMF_4","6235","RPS29"
"94",3.36538685690223e-29,1.27959938257552,1,1,6.73077371380447e-26,"NMF_4","6222","RPS18"
"95",1.16709558972716e-28,1.16432046332187,1,1,2.33419117945432e-25,"NMF_4","6160","RPL31"
"96",1.00506351049154e-27,1.26219620642638,1,1,2.01012702098308e-24,"NMF_4","6210","RPS15A"
