"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_names"
"547",3.74698736249546e-10,-0.368473025876686,1,1,1.87349368124773e-06,"NMF_4","547","KIF1A"
"3429",3.8195958026218e-10,0.28800531086314,1,1,1.9097979013109e-06,"NMF_4","3429","IFI27"
"9547",6.00031587896424e-10,-0.254383743357818,1,1,3.00015793948212e-06,"NMF_4","9547","CXCL14"
"8091",6.47317172525060e-10,-0.359048298451983,1,1,3.2365858626253e-06,"NMF_4","8091","HMGA2"
"59",8.59235427166464e-10,-0.277674534094932,1,1,4.29617713583232e-06,"NMF_4","59","ACTA2"
"6623",1.03020319901022e-09,0.29494813492952,1,1,5.15101599505112e-06,"NMF_4","6623","SNCG"
"1295",1.07620006691519e-09,-0.312434272439359,1,1,5.38100033457596e-06,"NMF_4","1295","COL8A1"
"3975",1.13734161730127e-09,-0.284375593567812,0.94,0.982,5.68670808650636e-06,"NMF_4","3975","LHX1"
"2348",1.41468749146737e-09,0.269763977649439,1,1,7.07343745733687e-06,"NMF_4","2348","FOLR1"
"7058",1.41468749146737e-09,-0.341490548124025,1,1,7.07343745733687e-06,"NMF_4","7058","THBS2"
"5655",2.02288084286406e-09,0.26018588203638,1,1,1.01144042143203e-05,"NMF_4","5655","KLK10"
"6590",3.08239638077514e-09,0.25970334882824,1,1,1.54119819038757e-05,"NMF_4","6590","SLPI"
"718",4.37616832599138e-09,0.267965722017619,1,1,2.18808416299569e-05,"NMF_4","718","C3"
"151887",7.62414095204268e-09,-0.280280993516193,1,1,3.81207047602134e-05,"NMF_4","151887","CCDC80"
"8425",7.80690713412185e-09,-0.283485921310726,1,1,3.90345356706093e-05,"NMF_4","8425","LTBP4"
"3481",1.19964913344924e-08,-0.422201475098604,1,1,5.99824566724619e-05,"NMF_4","3481","IGF2"
"92196",1.85526899808605e-08,0.331493308162143,1,1,9.27634499043023e-05,"NMF_4","92196","DAPL1"
"6424",1.94296478012033e-08,-0.287073738091777,1,1,9.71482390060165e-05,"NMF_4","6424","SFRP4"
"4060",2.93614198068061e-08,-0.414567268465069,1,1,0.000146807099034031,"NMF_4","4060","LUM"
"655",5.4947877829192e-08,-0.264916497384377,1,1,0.00027473938914596,"NMF_4","655","BMP7"
"4320",1.9805745187561e-07,-0.392922707993148,1,1,0.000990287259378048,"NMF_4","4320","MMP11"
"5076",2.93448090863741e-07,-0.303728524384428,0.927,0.972,0.0014672404543187,"NMF_4","5076","PAX2"
"28468",4.61587443172805e-07,-0.264469646554018,0.987,0.968,0.00230793721586403,"NMF_4","28468","IGHV1-18"
"1513",4.78820050884471e-07,-0.284471229859879,1,1,0.00239410025442236,"NMF_4","1513","CTSK"
"3240",6.33351765974397e-07,0.254997605466152,1,1,0.00316675882987198,"NMF_4","3240","HP"
"28439",6.56232826043671e-07,-0.251727807387176,0.98,0.954,0.00328116413021835,"NMF_4","28439","IGHV3-30"
"3500",9.06351908042275e-07,-0.602999344094877,1,1,0.00453175954021137,"NMF_4","3500","IGHG1"
"5054",9.88073654595048e-07,-0.269039218858262,1,1,0.00494036827297524,"NMF_4","5054","SERPINE1"
